,Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
477,27,Female,40760,Associate's Degree,Single,0,Rented,Average
478,28,Female,18173,High School Diploma,Single,0,Rented,Average
479,34,Male,82336,Bachelor's Degree,Single,0,Owned,High
480,52,Female,125416,Bachelor's Degree,Married,1,Owned,High
481,28,Female,17466,High School Diploma,Single,0,Rented,Average
482,35,Male,108600,Doctorate,Married,1,Owned,High
483,42,Male,114671,Bachelor's Degree,Married,1,Owned,High
484,30,Female,11908,High School Diploma,Married,1,Rented,Low
485,32,Male,48452,Bachelor's Degree,Single,0,Rented,Average
486,47,Male,133291,Master's Degree,Married,2,Owned,High
487,49,Male,85535,Bachelor's Degree,Married,1,Owned,High
488,53,Male,137470,Bachelor's Degree,Married,3,Owned,High
489,46,Male,114692,Master's Degree,Married,0,Owned,High
490,27,Male,42934,Associate's Degree,Single,0,Rented,Average
491,50,Male,161789,Bachelor's Degree,Single,0,Owned,High
492,33,Female,20015,Associate's Degree,Single,0,Rented,Low
493,33,Male,42228,Bachelor's Degree,Single,0,Owned,High
494,35,Female,37873,High School Diploma,Single,0,Rented,Average
495,25,Female,24145,Associate's Degree,Single,0,Rented,Low
496,32,Male,48486,Associate's Degree,Single,0,Rented,Average
497,29,Female,42376,High School Diploma,Single,0,Rented,Low
498,28,Female,16066,High School Diploma,Single,0,Rented,Low
499,30,Male,82691,Bachelor's Degree,Single,0,Rented,Low
500,32,Female,111552,Doctorate,Married,0,Owned,High
501,26,Female,33988,Associate's Degree,Single,0,Rented,Low
502,26,Female,48529,High School Diploma,Single,0,Rented,Low
503,33,Female,102626,Bachelor's Degree,Married,2,Owned,High
504,52,Female,68294,Doctorate,Married,1,Owned,High
505,24,Male,69351,Doctorate,Single,0,Owned,High
506,42,Female,75862,Bachelor's Degree,Married,1,Owned,High
507,47,Female,54858,Master's Degree,Married,1,Owned,High
508,31,Male,77868,Doctorate,Married,2,Owned,High
509,46,Male,102035,Master's Degree,Married,0,Owned,High
510,37,Male,98795,High School Diploma,Single,0,Rented,High
511,29,Male,78747,Bachelor's Degree,Single,0,Owned,High
512,32,Female,32354,High School Diploma,Single,0,Rented,Average
513,47,Female,84144,Master's Degree,Married,1,Owned,High
514,23,Female,17789,Associate's Degree,Single,0,Rented,Low
515,30,Female,40169,Associate's Degree,Single,0,Rented,Low
516,31,Male,38386,Associate's Degree,Single,0,Rented,Average
517,52,Male,83040,Master's Degree,Married,2,Owned,High
518,46,Female,101046,Bachelor's Degree,Married,1,Owned,High
519,48,Male,139932,Master's Degree,Single,0,Owned,High
520,49,Male,124947,Doctorate,Married,3,Owned,High
521,25,Female,26920,High School Diploma,Single,0,Rented,Low
522,46,Female,116364,High School Diploma,Married,2,Owned,High
523,48,Female,62672,Bachelor's Degree,Married,0,Owned,High
524,45,Female,102780,Master's Degree,Married,1,Owned,High
525,27,Female,65767,Associate's Degree,Single,0,Rented,Average
526,29,Female,47499,Bachelor's Degree,Single,0,Owned,High
527,37,Female,34482,High School Diploma,Single,0,Rented,Average
528,24,Male,25021,High School Diploma,Single,0,Rented,Low
529,31,Female,22617,High School Diploma,Single,0,Rented,Low
530,31,Male,33449,Associate's Degree,Single,0,Rented,Average
531,51,Female,85438,Doctorate,Married,3,Owned,High
532,27,Female,39001,High School Diploma,Single,0,Rented,Low
533,39,Male,75019,Bachelor's Degree,Single,0,Rented,Average
534,36,Female,73972,High School Diploma,Single,0,Owned,High
535,33,Female,77368,High School Diploma,Single,0,Rented,Average
536,33,Male,66840,Associate's Degree,Single,0,Rented,Average
537,50,Female,47316,Bachelor's Degree,Married,1,Owned,High
538,24,Female,-238,High School Diploma,Single,0,Rented,Low
539,54,Male,144101,Doctorate,Married,2,Owned,High
540,33,Male,104799,High School Diploma,Single,0,Owned,High
541,47,Male,116509,High School Diploma,Married,1,Owned,High
542,52,Female,132893,Master's Degree,Married,1,Owned,High
543,28,Female,53001,Associate's Degree,Single,0,Rented,Average
544,54,Female,24662,High School Diploma,Married,1,Owned,High
545,32,Female,99148,Master's Degree,Married,2,Owned,High
546,47,Female,81593,Bachelor's Degree,Married,1,Owned,High
547,36,Female,29106,High School Diploma,Single,0,Owned,Average
548,34,Female,27984,Bachelor's Degree,Married,1,Owned,High
549,41,Female,103560,Master's Degree,Married,1,Owned,High
550,28,Female,35929,High School Diploma,Single,0,Rented,Low
551,32,Male,62712,Bachelor's Degree,Married,1,Owned,High
552,22,Female,8858,High School Diploma,Single,0,Rented,Low
553,28,Female,25446,High School Diploma,Single,0,Owned,High
554,49,Female,115661,Doctorate,Married,2,Owned,High
555,36,Female,40760,Bachelor's Degree,Single,0,Rented,High
556,30,Male,88961,Bachelor's Degree,Single,0,Owned,Average
557,48,Male,145323,Master's Degree,Married,1,Owned,High
558,29,Female,19637,High School Diploma,Single,0,Rented,Low
559,36,Male,61798,Associate's Degree,Single,1,Rented,High
560,41,Female,102297,Bachelor's Degree,Married,1,Owned,High
561,25,Female,46467,Associate's Degree,Single,0,Rented,Average
562,31,Female,33279,Bachelor's Degree,Single,0,Rented,Average
563,33,Female,34926,Associate's Degree,Single,0,Rented,Low
564,47,Female,122147,Doctorate,Married,1,Owned,High
565,42,Male,118043,Master's Degree,Married,1,Owned,High
566,45,Female,85432,Bachelor's Degree,Married,0,Owned,High
567,47,Male,156603,Doctorate,Married,1,Owned,High
568,45,Male,141414,Bachelor's Degree,Married,2,Owned,High
569,40,Female,47830,High School Diploma,Single,0,Rented,Average
570,26,Female,38097,Associate's Degree,Single,0,Rented,Average
571,26,Female,31322,High School Diploma,Single,0,Rented,High
572,27,Female,6538,Associate's Degree,Single,0,Rented,Average
573,46,Male,72093,Master's Degree,Married,1,Owned,High
574,29,Female,50781,Bachelor's Degree,Single,0,Rented,Average
575,25,Female,26185,Associate's Degree,Single,0,Rented,High
576,48,Female,62674,Bachelor's Degree,Married,3,Owned,High
577,51,Male,165713,Bachelor's Degree,Married,1,Owned,High
578,34,Male,90918,Doctorate,Single,1,Owned,High
579,32,Male,50765,Bachelor's Degree,Single,0,Rented,Average
580,54,Male,129290,Master's Degree,Married,0,Owned,High
581,29,Female,45364,Associate's Degree,Single,0,Rented,Average
582,31,Male,57713,High School Diploma,Single,0,Owned,High
583,30,Female,5455,High School Diploma,Single,0,Rented,Low
584,27,Female,72627,Associate's Degree,Single,0,Rented,Average
585,30,Female,31054,Associate's Degree,Single,0,Rented,Average
586,26,Male,31912,High School Diploma,Single,0,Rented,Low
587,27,Female,25182,High School Diploma,Single,0,Rented,Low
588,28,Female,39871,Associate's Degree,Single,0,Rented,Average
589,46,Male,37612,High School Diploma,Single,2,Owned,High
590,27,Female,15259,Associate's Degree,Single,0,Rented,Average
591,51,Male,123539,Master's Degree,Married,1,Owned,High
592,34,Female,102889,Bachelor's Degree,Married,1,Owned,High
593,30,Male,64827,High School Diploma,Single,0,Rented,Average
594,26,Female,49333,Bachelor's Degree,Single,0,Rented,Average
595,29,Female,53700,Doctorate,Married,0,Owned,High
596,43,Male,62257,Doctorate,Married,0,Owned,High
597,49,Female,92380,Master's Degree,Married,1,Owned,High
598,33,Male,97234,Master's Degree,Single,0,Rented,High
599,31,Male,35590,Master's Degree,Single,0,Rented,Average
600,47,Female,22188,Bachelor's Degree,Married,1,Owned,High
601,31,Female,74327,Master's Degree,Married,0,Owned,High
602,46,Male,93254,Master's Degree,Married,2,Owned,High
603,46,Male,161828,Master's Degree,Married,0,Owned,High
604,28,Female,38678,Associate's Degree,Single,0,Rented,Low
605,24,Female,69668,High School Diploma,Single,0,Rented,Low
606,35,Female,59453,High School Diploma,Single,0,Rented,Low
607,28,Female,57094,Associate's Degree,Single,0,Rented,Low
608,27,Female,34472,High School Diploma,Single,0,Rented,Average
609,28,Female,46431,Bachelor's Degree,Single,0,Rented,Average
610,28,Male,56676,High School Diploma,Single,0,Rented,Average
611,29,Female,38401,High School Diploma,Single,0,Owned,High
612,30,Female,30939,Associate's Degree,Single,0,Rented,Average
613,42,Male,94274,Master's Degree,Married,2,Owned,High
614,35,Female,33805,High School Diploma,Single,0,Rented,Average
615,28,Female,88461,Bachelor's Degree,Married,2,Owned,High
616,28,Female,62823,Associate's Degree,Single,0,Rented,Low
617,32,Female,41093,High School Diploma,Single,0,Owned,Average
618,51,Male,113493,Master's Degree,Married,1,Owned,High
619,44,Male,93495,Doctorate,Married,0,Owned,High
620,29,Female,48405,Associate's Degree,Single,0,Rented,Average
621,34,Female,49203,High School Diploma,Single,0,Rented,Average
622,33,Male,80354,High School Diploma,Single,0,Rented,Average
623,30,Female,33824,High School Diploma,Single,0,Rented,Low
624,36,Male,85959,Doctorate,Single,2,Owned,High
625,49,Female,87572,Doctorate,Married,0,Owned,High
626,42,Female,118951,Doctorate,Single,1,Owned,High
627,31,Female,31057,Associate's Degree,Single,0,Rented,Low
628,49,Female,45505,Doctorate,Married,1,Owned,High
629,33,Female,57324,High School Diploma,Single,0,Rented,Low
630,31,Male,102507,Bachelor's Degree,Single,0,Owned,Low
631,50,Female,138267,Doctorate,Married,0,Owned,High
632,48,Female,103485,Bachelor's Degree,Married,1,Owned,High
633,47,Female,143444,Doctorate,Married,0,Owned,High
634,26,Female,63040,High School Diploma,Single,0,Owned,Average
635,48,Female,139464,High School Diploma,Married,2,Owned,High
636,26,Female,27562,Associate's Degree,Single,0,Rented,Average
637,26,Female,34589,Associate's Degree,Single,0,Rented,Low
638,54,Female,148819,Bachelor's Degree,Married,2,Owned,High
639,27,Female,45168,High School Diploma,Single,0,Owned,Low
640,29,Female,70044,Bachelor's Degree,Married,2,Owned,High
641,33,Female,111409,Master's Degree,Married,0,Owned,High
642,48,Male,83080,Doctorate,Married,0,Owned,High
643,32,Male,119619,Doctorate,Married,0,Owned,High
644,50,Male,104075,Bachelor's Degree,Married,2,Owned,High
645,36,Male,84523,Bachelor's Degree,Single,0,Owned,Low
646,48,Male,96451,Master's Degree,Married,1,Owned,High
647,36,Female,117429,Doctorate,Married,1,Owned,High
648,32,Female,41161,High School Diploma,Single,0,Owned,Low
649,36,Female,52361,Doctorate,Married,2,Owned,High
650,51,Male,149626,High School Diploma,Married,1,Owned,High
651,52,Female,143141,Bachelor's Degree,Married,2,Owned,High
652,37,Male,126224,Bachelor's Degree,Single,0,Rented,Average
653,30,Male,51903,High School Diploma,Single,0,Rented,Average
654,32,Female,14784,Associate's Degree,Single,0,Rented,Low
655,33,Female,37442,Bachelor's Degree,Single,0,Rented,Average
656,24,Female,23531,High School Diploma,Single,0,Rented,Low
657,26,Female,23622,Associate's Degree,Single,0,Rented,Low
658,41,Male,85528,Doctorate,Married,0,Owned,High
659,43,Male,83485,Bachelor's Degree,Married,2,Owned,High
660,43,Male,87860,Doctorate,Married,1,Owned,High
661,58,Male,69558,Bachelor's Degree,Married,2,Owned,High
662,25,Female,74027,High School Diploma,Single,0,Rented,Average
663,51,Male,171076,Bachelor's Degree,Married,3,Owned,High
664,29,Female,51695,Associate's Degree,Single,0,Rented,Average
665,32,Male,170684,High School Diploma,Single,0,Owned,High
666,48,Female,56968,Doctorate,Married,0,Owned,High
667,45,Female,96744,Doctorate,Married,1,Owned,High
668,35,Female,59708,High School Diploma,Single,0,Rented,Low
669,46,Male,140438,Master's Degree,Married,1,Owned,High
670,48,Female,106783,High School Diploma,Married,1,Owned,High
671,53,Male,136510,Bachelor's Degree,Married,0,Owned,High
672,30,Male,113541,Bachelor's Degree,Single,0,Rented,Average
673,48,Male,159603,Master's Degree,Married,0,Owned,High
674,28,Female,46866,Associate's Degree,Single,0,Rented,Low
675,31,Female,32137,Bachelor's Degree,Single,0,Rented,Average
676,32,Female,26857,Associate's Degree,Single,0,Rented,Low
677,46,Female,46954,Bachelor's Degree,Married,1,Owned,High
678,32,Male,61471,Bachelor's Degree,Single,0,Rented,Average
679,51,Female,55184,Bachelor's Degree,Married,1,Owned,High
680,46,Female,41432,Bachelor's Degree,Married,1,Owned,High
681,46,Female,102935,Doctorate,Married,1,Owned,High
682,27,Female,15951,Associate's Degree,Single,0,Rented,Low
683,29,Male,133569,Doctorate,Married,0,Owned,High
684,29,Male,63317,Doctorate,Single,2,Owned,High
685,27,Female,26508,High School Diploma,Single,0,Rented,Low
686,53,Female,70861,Bachelor's Degree,Married,1,Owned,High
687,50,Male,149103,Master's Degree,Married,1,Owned,High
688,45,Female,90148,Doctorate,Married,1,Owned,High
689,29,Female,26619,Associate's Degree,Single,0,Rented,Average
690,39,Male,88757,Bachelor's Degree,Single,0,Rented,High
691,45,Male,151045,Doctorate,Married,2,Owned,High
692,34,Female,26194,High School Diploma,Single,0,Owned,Low
693,29,Female,54088,High School Diploma,Single,0,Owned,Low
694,49,Male,131753,Master's Degree,Single,3,Owned,High
695,32,Male,55403,High School Diploma,Single,0,Rented,Low
696,28,Female,78958,Doctorate,Married,1,Owned,High
697,29,Female,40126,Associate's Degree,Single,0,Rented,Low
698,30,Male,67953,High School Diploma,Single,0,Rented,Average
699,50,Male,120617,Doctorate,Single,0,Owned,High
700,28,Female,50149,Associate's Degree,Single,0,Rented,Low
701,46,Male,124418,Bachelor's Degree,Single,0,Owned,High
702,21,Female,75046,Associate's Degree,Single,0,Rented,Average
703,46,Male,99756,Bachelor's Degree,Married,3,Owned,High
704,27,Female,39693,High School Diploma,Single,0,Rented,Average
705,34,Female,31674,High School Diploma,Single,0,Rented,Low
706,43,Female,13242,Associate's Degree,Single,0,Rented,Low
707,47,Female,76033,Doctorate,Married,1,Owned,High
708,52,Female,95630,Doctorate,Married,0,Owned,High
709,38,Male,158332,Master's Degree,Married,0,Owned,High
710,49,Male,130675,Doctorate,Married,0,Owned,High
711,37,Female,104641,Doctorate,Married,1,Owned,High
712,34,Male,65978,Bachelor's Degree,Single,1,Owned,High
713,54,Male,140649,Doctorate,Married,1,Owned,High
714,27,Male,31685,Associate's Degree,Single,0,Rented,Average
715,35,Male,130863,Bachelor's Degree,Married,0,Owned,High
716,44,Male,97160,Master's Degree,Married,0,Owned,High
717,48,Female,70114,Master's Degree,Married,0,Owned,High
718,30,Female,49131,High School Diploma,Single,0,Rented,Average
719,30,Female,35324,Associate's Degree,Single,0,Rented,Average
720,31,Female,16893,Bachelor's Degree,Single,0,Rented,Low
721,50,Male,54269,Doctorate,Married,2,Owned,High
722,50,Female,109516,Doctorate,Married,1,Owned,High
723,31,Female,39006,High School Diploma,Single,0,Rented,Average
724,26,Female,19126,Bachelor's Degree,Single,0,Rented,Low
725,48,Female,85139,Doctorate,Married,2,Owned,High
726,50,Female,85541,Doctorate,Married,1,Owned,High
727,47,Female,114462,Master's Degree,Married,0,Owned,High
728,51,Male,158343,Master's Degree,Married,1,Owned,High
729,26,Female,30969,High School Diploma,Single,0,Rented,Low
730,33,Female,35035,Bachelor's Degree,Single,0,Rented,Low
731,28,Female,34988,High School Diploma,Single,0,Rented,Average
732,25,Female,33987,Associate's Degree,Single,0,Rented,Average
733,30,Female,45309,High School Diploma,Single,0,Rented,Low
734,44,Female,116797,Doctorate,Married,1,Owned,High
735,25,Female,28654,High School Diploma,Single,0,Rented,Average
736,50,Male,118383,Master's Degree,Married,1,Owned,High
737,49,Male,105517,Master's Degree,Married,0,Owned,High
738,49,Male,105508,Master's Degree,Married,2,Owned,High
739,35,Female,78967,Master's Degree,Married,0,Owned,High
740,31,Male,65481,High School Diploma,Single,0,Rented,Low
741,42,Female,117773,Bachelor's Degree,Married,2,Owned,High
742,34,Male,114681,High School Diploma,Single,0,Owned,High
743,46,Male,137195,Doctorate,Married,1,Owned,High
744,29,Female,58867,Bachelor's Degree,Single,0,Rented,Average
745,36,Female,40947,High School Diploma,Single,0,Rented,High
746,33,Male,123167,High School Diploma,Single,0,Owned,High
747,24,Female,23866,Associate's Degree,Single,0,Rented,Low
748,25,Female,52887,Bachelor's Degree,Single,0,Rented,Average
749,30,Female,36001,Bachelor's Degree,Single,0,Rented,Average
750,49,Male,154943,Master's Degree,Married,1,Owned,High
751,26,Female,27916,Bachelor's Degree,Single,0,Rented,High
752,47,Female,70883,Doctorate,Married,1,Owned,High
753,30,Male,153379,Doctorate,Married,0,Owned,High
754,27,Female,11010,Associate's Degree,Single,0,Rented,Low
755,29,Female,28907,High School Diploma,Single,0,Rented,Low
756,34,Female,45926,Associate's Degree,Single,0,Rented,Average
757,26,Female,20065,Associate's Degree,Single,0,Rented,Low
758,31,Female,29875,High School Diploma,Single,0,Rented,Low
759,50,Female,68190,Bachelor's Degree,Married,1,Owned,High
760,46,Female,123410,Master's Degree,Married,0,Owned,High
761,29,Female,29890,High School Diploma,Single,0,Rented,Average
762,48,Male,112736,Master's Degree,Married,1,Owned,High
763,51,Male,110634,Bachelor's Degree,Married,0,Owned,High
764,29,Male,54520,Associate's Degree,Single,0,Rented,Average
765,34,Male,66046,Bachelor's Degree,Single,0,Rented,High
766,50,Male,142661,Master's Degree,Married,0,Owned,High
767,34,Female,56815,Doctorate,Single,0,Owned,High
768,44,Male,123788,High School Diploma,Married,2,Owned,High
769,30,Female,16891,Associate's Degree,Single,0,Rented,Average
770,44,Male,78186,Doctorate,Married,1,Owned,High
771,24,Female,32662,Associate's Degree,Single,0,Rented,Low
772,35,Female,8494,Bachelor's Degree,Single,0,Rented,Low
773,29,Female,44608,High School Diploma,Single,0,Rented,Average
774,30,Male,38335,Associate's Degree,Single,0,Rented,Low
775,51,Male,75987,Bachelor's Degree,Married,0,Owned,High
776,28,Female,9971,Associate's Degree,Single,0,Rented,Low
777,26,Female,30700,Associate's Degree,Single,0,Rented,Low
778,32,Female,41498,High School Diploma,Single,0,Rented,Low
779,50,Female,89344,Bachelor's Degree,Married,2,Owned,High
780,24,Female,47772,Bachelor's Degree,Married,0,Owned,High
781,50,Male,120834,Master's Degree,Single,1,Owned,High
782,38,Female,119400,Doctorate,Single,1,Owned,High
783,48,Female,96333,Master's Degree,Married,1,Owned,High
784,31,Female,33005,High School Diploma,Single,0,Rented,Low
785,31,Female,38936,High School Diploma,Single,0,Rented,Low
786,41,Female,83767,High School Diploma,Married,0,Owned,High
787,22,Male,47774,Bachelor's Degree,Single,0,Owned,High
788,29,Male,76324,Bachelor's Degree,Single,0,Rented,Average
789,51,Male,57656,Bachelor's Degree,Married,1,Owned,High
790,29,Female,31325,Associate's Degree,Single,0,Rented,Average
791,31,Male,29345,High School Diploma,Single,0,Rented,Low
792,41,Male,127970,High School Diploma,Married,2,Owned,High
793,27,Female,40708,Associate's Degree,Single,0,Rented,Average
794,36,Male,102593,Master's Degree,Single,0,Owned,High
795,42,Female,80638,Master's Degree,Married,3,Owned,High
796,42,Female,68000,Doctorate,Single,2,Owned,High
797,27,Male,37253,High School Diploma,Single,0,Rented,Low
798,32,Male,27557,Associate's Degree,Single,0,Rented,Low
799,41,Male,155305,Doctorate,Married,3,Owned,High
800,53,Female,128879,Bachelor's Degree,Married,1,Owned,High
801,33,Female,81123,Doctorate,Married,1,Owned,High
802,39,Female,45405,Bachelor's Degree,Married,1,Owned,High
803,29,Male,50314,High School Diploma,Single,0,Rented,Average
804,46,Male,87073,Bachelor's Degree,Married,1,Owned,High
805,27,Male,46090,Associate's Degree,Single,0,Rented,Average
806,51,Female,117155,Bachelor's Degree,Married,1,Owned,High
807,27,Male,44283,Associate's Degree,Single,0,Rented,Average
808,51,Male,66645,Doctorate,Married,1,Owned,High
809,48,Male,101963,Master's Degree,Married,2,Owned,High
810,26,Male,44720,Associate's Degree,Single,0,Rented,Average
811,29,Female,3318,Associate's Degree,Single,0,Rented,Low
812,30,Female,43271,High School Diploma,Single,0,Rented,High
813,48,Male,70336,Master's Degree,Single,2,Owned,High
814,54,Male,138442,Master's Degree,Married,1,Owned,High
815,27,Female,78529,Associate's Degree,Single,0,Rented,Low
816,29,Male,84834,Bachelor's Degree,Married,0,Owned,High
817,33,Female,82625,Bachelor's Degree,Married,1,Owned,High
818,31,Female,66164,High School Diploma,Single,0,Rented,Average
819,49,Female,116085,Master's Degree,Married,2,Owned,High
820,38,Female,53821,Associate's Degree,Single,0,Rented,High
821,52,Female,127707,Master's Degree,Married,1,Owned,High
822,51,Male,140338,Bachelor's Degree,Married,1,Owned,High
823,51,Male,126650,Bachelor's Degree,Married,1,Owned,High
824,26,Female,10123,Bachelor's Degree,Single,0,Rented,Low
825,26,Female,24356,High School Diploma,Single,0,Rented,Low
826,40,Female,95614,Master's Degree,Married,1,Owned,High
827,50,Male,140407,Master's Degree,Married,1,Owned,High
828,26,Female,23147,Bachelor's Degree,Single,0,Rented,Low
829,47,Male,149313,Master's Degree,Married,2,Owned,High
830,35,Female,46606,Associate's Degree,Single,0,Rented,Low
831,47,Female,98415,Doctorate,Married,0,Owned,High
832,45,Female,107022,Doctorate,Married,0,Owned,High
833,29,Female,49997,High School Diploma,Single,0,Owned,Low
834,28,Female,64658,High School Diploma,Single,0,Owned,High
835,31,Male,11343,Associate's Degree,Single,1,Rented,Low
836,35,Male,53939,High School Diploma,Single,0,Rented,High
837,30,Male,178057,Doctorate,Married,2,Owned,High
838,35,Female,32747,Bachelor's Degree,Single,0,Owned,High
839,29,Female,53719,High School Diploma,Single,0,Rented,Average
840,45,Female,90755,Doctorate,Married,0,Owned,High
841,51,Female,115652,Master's Degree,Married,2,Owned,High
842,45,Female,95505,Doctorate,Married,1,Owned,High
843,31,Female,61242,Associate's Degree,Single,0,Owned,Average
844,33,Female,44228,High School Diploma,Single,0,Rented,Average
845,31,Female,47358,Bachelor's Degree,Single,0,Owned,Low
846,50,Female,128921,Bachelor's Degree,Married,3,Owned,High
847,30,Female,31525,High School Diploma,Single,0,Rented,Low
848,29,Female,47829,High School Diploma,Single,0,Owned,High
849,37,Female,59002,Associate's Degree,Single,0,Rented,Average
850,43,Male,96515,Bachelor's Degree,Married,1,Owned,High
851,47,Male,132504,Master's Degree,Married,2,Owned,High
852,27,Female,93979,Doctorate,Married,1,Owned,High
853,32,Male,62792,High School Diploma,Single,0,Rented,Average
854,47,Male,151698,Master's Degree,Single,0,Owned,High
855,46,Male,83269,Bachelor's Degree,Married,1,Owned,High
856,32,Female,41981,Associate's Degree,Single,0,Rented,Average
857,45,Female,28262,Master's Degree,Married,2,Owned,High
858,33,Female,39537,Doctorate,Married,1,Owned,High
859,31,Female,38515,Bachelor's Degree,Single,0,Rented,High
860,46,Female,136685,Doctorate,Married,1,Owned,High
861,29,Female,15566,High School Diploma,Single,0,Rented,Low
862,34,Female,25010,Associate's Degree,Single,0,Rented,Average
863,47,Female,85392,Master's Degree,Married,1,Owned,High
864,23,Female,40912,Associate's Degree,Single,0,Rented,Low
865,44,Male,131283,Master's Degree,Married,1,Owned,High
866,30,Male,52467,Bachelor's Degree,Single,0,Owned,High
867,30,Male,79000,Bachelor's Degree,Single,0,Owned,High
868,28,Female,53098,High School Diploma,Single,0,Rented,Average
869,44,Female,114244,Doctorate,Married,2,Owned,High
870,33,Male,120189,Doctorate,Single,0,Owned,High
871,24,Female,39488,High School Diploma,Single,1,Owned,High
872,26,Male,56228,High School Diploma,Single,0,Rented,High
873,23,Female,40006,Associate's Degree,Single,0,Rented,Low
874,42,Female,55139,Bachelor's Degree,Married,1,Owned,High
875,53,Female,97373,Doctorate,Single,0,Owned,High
876,33,Female,56403,High School Diploma,Single,0,Rented,Low
877,53,Female,51952,Doctorate,Married,0,Owned,High
878,45,Male,120134,Master's Degree,Married,3,Owned,High
879,46,Male,145936,Master's Degree,Married,1,Owned,High
880,31,Male,90723,Bachelor's Degree,Single,0,Rented,Average
881,29,Female,32693,Associate's Degree,Single,0,Rented,Average
882,30,Female,52794,Bachelor's Degree,Married,0,Owned,High
883,29,Female,20102,High School Diploma,Single,0,Rented,Low
884,56,Female,137703,Bachelor's Degree,Married,1,Owned,High
885,27,Female,42238,Bachelor's Degree,Single,0,Rented,Low
886,26,Female,67996,Associate's Degree,Single,0,Rented,Low
887,56,Male,161734,Master's Degree,Married,1,Owned,High
888,39,Female,123589,Doctorate,Married,2,Owned,High
889,36,Female,78623,Master's Degree,Single,0,Owned,High
890,35,Male,77247,High School Diploma,Single,0,Owned,High
891,32,Male,18752,Bachelor's Degree,Single,0,Rented,Low
892,45,Female,165185,Doctorate,Married,1,Owned,High
893,30,Female,36451,Doctorate,Married,1,Owned,High
894,27,Female,93083,High School Diploma,Single,0,Rented,Average
895,36,Female,51093,High School Diploma,Married,2,Owned,High
896,32,Female,32737,High School Diploma,Single,0,Rented,Low
897,31,Male,70468,Bachelor's Degree,Single,0,Owned,High
898,26,Female,18549,High School Diploma,Single,0,Rented,Low
899,32,Male,35132,High School Diploma,Single,2,Owned,Low
900,51,Female,72083,Doctorate,Married,2,Owned,High
901,29,Female,24161,High School Diploma,Single,0,Rented,Low
902,32,Female,78963,Bachelor's Degree,Single,0,Rented,Average
903,31,Female,45070,Associate's Degree,Single,0,Rented,Average
904,29,Male,34615,High School Diploma,Single,0,Rented,High
905,35,Male,138271,Bachelor's Degree,Single,0,Owned,High
906,45,Female,44108,Doctorate,Married,2,Owned,High
907,49,Female,101740,Bachelor's Degree,Married,1,Owned,High
908,35,Female,49232,High School Diploma,Married,1,Owned,High
909,30,Female,14925,High School Diploma,Single,0,Rented,Low
910,54,Female,73771,Doctorate,Married,1,Owned,High
911,26,Female,6236,Bachelor's Degree,Single,0,Rented,Low
912,45,Female,61061,Bachelor's Degree,Married,1,Owned,High
913,30,Female,37160,Bachelor's Degree,Single,0,Rented,Low
914,46,Female,134353,Doctorate,Married,2,Owned,High
915,28,Female,42554,Bachelor's Degree,Single,0,Rented,Average
916,50,Female,91203,High School Diploma,Single,0,Owned,High
917,49,Female,79350,High School Diploma,Single,3,Owned,High
918,33,Female,46649,Associate's Degree,Single,0,Rented,High
919,46,Male,60107,Doctorate,Married,1,Owned,High
920,27,Male,26636,Associate's Degree,Single,0,Rented,Low
921,27,Male,52606,High School Diploma,Single,0,Owned,High
922,26,Male,22338,Associate's Degree,Single,0,Rented,Average
923,28,Female,16995,High School Diploma,Single,0,Rented,Low
924,49,Female,38417,Bachelor's Degree,Married,1,Owned,High
925,30,Female,24382,Associate's Degree,Single,0,Rented,Low
926,54,Male,163172,Master's Degree,Married,0,Owned,High
927,28,Female,17540,Associate's Degree,Single,0,Rented,Low
928,25,Female,25572,Bachelor's Degree,Single,0,Rented,Average
929,41,Female,102602,Doctorate,Married,1,Owned,High
930,30,Male,66337,Bachelor's Degree,Single,0,Rented,Low
931,34,Female,32872,High School Diploma,Single,0,Rented,Low
932,44,Female,95828,Doctorate,Married,2,Owned,High
933,25,Female,77807,High School Diploma,Single,0,Rented,Low
934,29,Female,15428,Bachelor's Degree,Single,0,Rented,Low
935,25,Female,49594,High School Diploma,Single,0,Rented,Average
936,27,Male,107718,Bachelor's Degree,Single,0,Rented,High
937,46,Female,87514,Bachelor's Degree,Married,1,Owned,High
938,42,Female,85400,High School Diploma,Single,0,Owned,High
939,29,Female,55212,High School Diploma,Single,0,Rented,High
940,31,Female,27341,Associate's Degree,Single,0,Rented,Low
941,44,Female,72195,Doctorate,Married,2,Owned,High
942,33,Female,47678,Associate's Degree,Single,0,Rented,Average
943,39,Male,62634,Associate's Degree,Single,0,Rented,Average
944,32,Female,40014,High School Diploma,Single,0,Rented,Average
945,50,Male,121687,Master's Degree,Married,1,Owned,High
946,31,Female,66630,Associate's Degree,Single,0,Rented,Average
947,51,Male,94303,Bachelor's Degree,Single,0,Owned,High
948,43,Male,137558,Master's Degree,Married,1,Owned,High
949,25,Female,34066,High School Diploma,Single,2,Rented,Average
950,28,Female,33364,Associate's Degree,Single,0,Rented,Low
951,44,Female,58070,Doctorate,Married,1,Owned,High
952,30,Female,120493,Doctorate,Married,0,Owned,High
953,37,Female,120011,Doctorate,Married,2,Owned,High
954,28,Female,29303,Bachelor's Degree,Single,0,Rented,Low
